Distance,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_fix_1,RSSI_fix_2,RSSI_fix_3,RSSI_fix_4,RSSI_fix_5,Mean_RSSI,Std_RSSI,Mean_RSSI_fix,Std_RSSI_fix
20,5.12,4.81,4.7,4.81,4.43,1.62,1.21,1.3,1.29,1.12,4.774,0.221865,1.308,0.168926
21,4.62,4.81,4.58,4.36,4.19,1.4,1.5,1.46,1.11,1.15,4.512,0.215351,1.324,0.162062
22,4.17,4.58,3.96,3.74,4.35,1.23,1.55,1.11,0.78,1.57,4.16,0.292916,1.248,0.294374
23,3.69,4.46,3.21,3.43,4.19,1.03,1.73,0.64,0.75,1.68,3.796,0.465772,1.166,0.458371
24,3.38,4.12,2.55,3.54,3.5,1.0,1.67,0.24,1.15,1.25,3.418,0.503841,1.062,0.467393
25,3.5,3.88,2.31,3.18,3.29,1.4,1.72,0.27,1.06,1.3,3.232,0.519207,1.15,0.488344
26,3.29,3.5,2.31,3.04,2.62,1.47,1.63,0.55,1.2,0.91,2.952,0.434668,1.152,0.388041
27,2.96,2.92,2.29,2.77,2.19,1.42,1.34,0.79,1.22,0.74,2.626,0.323023,1.102,0.282871
28,2.42,2.42,1.8,1.97,1.54,1.16,1.13,0.58,0.7,0.35,2.03,0.346641,0.784,0.315633
29,2.0,1.92,1.38,1.89,1.0,1.02,0.91,0.43,0.91,0.07,1.638,0.386699,0.668,0.362017
30,1.42,1.28,0.93,1.18,0.46,0.72,0.56,0.25,0.47,0.2,1.054,0.337378,0.44,0.193598
