Distance,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_fix_1,RSSI_fix_2,RSSI_fix_3,RSSI_fix_4,RSSI_fix_5,Mean_RSSI,Std_RSSI,Mean_RSSI_fix,Std_RSSI_fix
20,4.31,4.25,4.46,5.77,4.92,0.25,0.35,0.37,1.14,0.47,4.742,0.565098,0.516,0.319725
21,3.69,3.98,3.99,5.35,4.42,0.5,0.25,0.22,1.09,0.33,4.286,0.580779,0.478,0.321086
22,3.35,3.25,3.67,4.69,3.85,0.48,0.61,0.23,0.81,0.11,3.762,0.511719,0.448,0.253014
23,3.07,2.67,3.07,4.18,3.21,0.39,0.82,0.04,0.66,0.17,3.24,0.503428,0.416,0.291657
24,2.67,2.18,2.32,3.62,2.77,0.43,0.95,0.46,0.47,0.26,2.712,0.503245,0.514,0.230877
25,2.27,1.94,2.04,3.04,2.28,0.46,0.82,0.42,0.26,0.39,2.314,0.386036,0.47,0.187403
26,1.88,1.5,1.63,2.5,1.65,0.48,0.89,0.5,0.1,0.66,1.832,0.355719,0.526,0.258735
27,1.5,1.25,1.36,1.88,1.46,0.5,0.78,0.44,0.15,0.5,1.49,0.213354,0.474,0.200559
28,1.46,0.98,1.18,1.38,1.24,0.18,0.68,0.29,0.28,0.36,1.248,0.166661,0.358,0.170927
29,0.96,0.75,0.86,0.73,0.85,0.31,0.54,0.29,0.56,0.4,0.83,0.083187,0.42,0.112606
30,0.58,0.21,0.71,0.43,0.54,0.33,0.71,0.11,0.5,0.35,0.494,0.167881,0.4,0.198796
