Distance,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_fix_1,RSSI_fix_2,RSSI_fix_3,RSSI_fix_4,RSSI_fix_5,Mean_RSSI,Std_RSSI,Mean_RSSI_fix,Std_RSSI_fix
20,5.65,5.54,5.42,5.06,5.64,1.03,1.01,0.62,0.32,0.87,5.462,0.217476,0.77,0.268403
21,5.46,5.04,5.21,4.87,5.26,1.2,0.87,0.34,0.08,0.87,5.168,0.20034,0.672,0.404445
22,4.7,4.85,4.88,5.07,5.07,0.82,1.04,0.19,0.55,1.06,4.914,0.141223,0.732,0.327744
23,4.15,4.46,4.69,4.46,4.91,0.64,1.02,0.1,0.38,1.28,4.534,0.254606,0.684,0.425093
24,3.71,4.27,4.19,4.03,3.99,0.57,1.19,0.08,0.37,0.74,4.038,0.193329,0.59,0.37186
25,3.15,4.0,3.73,3.6,3.76,0.38,1.28,0.1,0.38,0.89,3.648,0.280528,0.606,0.422639
26,2.68,3.58,3.08,2.93,3.26,0.27,1.22,0.07,0.13,0.78,3.106,0.303816,0.494,0.440754
27,1.8,3.04,2.6,2.53,2.76,0.23,1.04,0.06,0.16,0.66,2.546,0.412194,0.43,0.367369
28,1.69,2.54,2.08,2.21,2.03,0.02,0.91,0.1,0.27,0.31,2.11,0.275173,0.322,0.312755
29,1.54,2.04,1.46,1.8,1.32,0.24,0.77,0.23,0.29,0.01,1.632,0.256936,0.308,0.250312
30,1.0,1.5,0.65,1.29,0.64,0.07,0.59,0.55,0.21,0.31,1.016,0.342029,0.346,0.198555
